,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
10484,501083.OF,银华科创主题3年封闭运作,混合型基金,灵活配置型基金,中国战略新兴产业成份指数收益率*60%+中债综合财富指数收益率*40%,中国战略新兴产业成份指数收益率,60%,中债综合财富指数收益率,40%
10485,501085.OF,财通科创主题3年封闭运作,混合型基金,灵活配置型基金,中国战略新兴产业成份指数收益率*75%+上证国债指数收益率*25%,中国战略新兴产业成份指数收益率,75%,上证国债指数收益率,25%
10494,501095.OF,中银证券科技创新3年封闭运作,混合型基金,灵活配置型基金,中国战略新兴产业成份指数收益率*55%+中债综合全价指数收益率*45%,中国战略新兴产业成份指数收益率,55%,中债综合全价指数收益率,45%
10496,501097.OF,国寿安保科技创新3年封闭运作,混合型基金,灵活配置型基金,中证全债指数收益率*60%+中国战略新兴产业成份指数收益率*40%,中证全债指数收益率,60%,中国战略新兴产业成份指数收益率,40%
10501,501186.OF,华夏3年战略配售,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债总指数收益率*40%,沪深300指数收益率,60%,中债总指数收益率,40%
10502,501188.OF,汇添富3年战略配售,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债总指数收益率*40%,沪深300指数收益率,60%,中债总指数收益率,40%
10503,501189.OF,嘉实3年战略配售,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债总全价指数收益率*40%,沪深300指数收益率,60%,中债总全价指数收益率,40%
10505,501201.OF,红土创新科技创新3年封闭运作,混合型基金,灵活配置型基金,中国战略新兴产业成分指数收益率*50%+中证全债指数收益率*50%,中国战略新兴产业成分指数收益率,50%,中证全债指数收益率,50%
10506,501202.OF,华泰紫金科技创新3年封闭运作C,混合型基金,灵活配置型基金,中国战略新兴产业成份指数收益率*60%+中债综合指数收益率*40%,中国战略新兴产业成份指数收益率,60%,中债综合指数收益率,40%
10535,506001.OF,万家科创板2年定开,混合型基金,偏股混合型基金,中国战略新兴产业成份指数收益率*75%+中债综合指数收益率*25%,中国战略新兴产业成份指数收益率,75%,中债综合指数收益率,25%
10546,510081.OF,长盛动态精选,混合型基金,偏股混合型基金,沪深300指数收益率*95%+金融同业存款利率*5%,沪深300指数收益率,95%,金融同业存款利率,5%
10823,519001.OF,银华核心价值优选,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中国债券总指数收益率*20%,沪深300指数收益率,80%,中国债券总指数收益率,20%
10825,519003.OF,海富通收益增长,混合型基金,灵活配置型基金,上证国债指数*60%+MSCI China A指数*40%,上证国债指数,60%,MSCI China A指数,40%
10826,519005.OF,海富通股票,混合型基金,偏股混合型基金,MSCI中国A股指数*80%+上证国债指数*20%,MSCI中国A股指数,80%,上证国债指数,20%
10828,519008.OF,汇添富优势精选,混合型基金,偏股混合型基金,沪深300指数收益率*70%+上证国债指数收益率*30%,沪深300指数收益率,70%,上证国债指数收益率,30%
10829,519011.OF,海富通精选,混合型基金,偏股混合型基金,MSCI China A指数*65%+上证国债指数*35%,MSCI China A指数,65%,上证国债指数,35%
10830,519013.OF,海富通风格优势,混合型基金,偏股混合型基金,MSCI中国A股指数*75%+上证国债指数*25%,MSCI中国A股指数,75%,上证国债指数,25%
10831,519015.OF,海富通精选2号,混合型基金,偏股混合型基金,MSCI中国A指数*65%+上证国债指数*35%,MSCI中国A指数,65%,上证国债指数,35%
10832,519017.OF,大成积极成长,混合型基金,偏股混合型基金,沪深300指数*80%+中证综合债券指数*20%,沪深300指数,80%,中证综合债券指数,20%
10833,519018.OF,汇添富均衡增长,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
10834,519019.OF,大成景阳领先,混合型基金,偏股混合型基金,沪深300指数*80%+中债综合指数*20%,沪深300指数,80%,中债综合指数,20%
10835,519020.OF,国泰金泰A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
10836,519021.OF,国泰金鼎价值精选,混合型基金,偏股混合型基金,上证综合指数收益率*65%+上证国债指数收益率*35%,上证综合指数收益率,65%,上证国债指数收益率,35%
10837,519022.OF,国泰金泰C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
10840,519025.OF,海富通领先成长,混合型基金,偏股混合型基金,MSCI China A指数*80%+上证国债指数*20%,MSCI China A指数,80%,上证国债指数,20%
10841,519026.OF,海富通中小盘,混合型基金,偏股混合型基金,中证700指数*80%+上证国债指数*20%,中证700指数,80%,上证国债指数,20%
10843,519029.OF,华夏平稳增长,混合型基金,灵活配置型基金,富时中国A600指数收益率*50%+中债综合指数(财富)收益率*50%,富时中国A600指数收益率,50%,中债综合指数(财富)收益率,50%
10846,519033.OF,海富通国策导向,混合型基金,偏股混合型基金,MSCI中国A股指数*80%+上证国债指数*20%,MSCI中国A股指数,80%,上证国债指数,20%
10849,519039.OF,长盛同德,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
10850,519050.OF,海富通安颐收益A,混合型基金,偏债混合型基金,三年期银行定期存款利率(税后)+2%,三年期银行定期存款利率(税后),,2%,
10852,519056.OF,海富通内需热点,混合型基金,偏股混合型基金,MSCI中国A股指数*80%+上证国债指数*20%,MSCI中国A股指数,80%,上证国债指数,20%
10857,519066.OF,汇添富蓝筹稳健,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
10858,519068.OF,汇添富成长焦点,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
10859,519069.OF,汇添富价值精选A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
10861,519087.OF,新华优选分红,混合型基金,偏股混合型基金,沪深300指数*60%+上证国债指数*40%,沪深300指数,60%,上证国债指数,40%
10862,519089.OF,新华优选成长,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
10863,519091.OF,新华泛资源优势,混合型基金,灵活配置型基金,沪深300指数*60%+上证国债指数*40%,沪深300指数,60%,上证国债指数,40%
