,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
4964,006539.OF,南方优选价值C,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
4965,006540.OF,南方绩优成长C,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
4966,006541.OF,南方成份精选C,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
4972,006547.OF,红塔红土盛弘A,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总指数(财富)收益率*45%,沪深300指数收益率,55%,中债总指数(财富)收益率,45%
4973,006548.OF,红塔红土盛弘C,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总指数(财富)收益率*45%,沪深300指数收益率,55%,中债总指数(财富)收益率,45%
4975,006551.OF,中庚价值领航,混合型基金,偏股混合型基金,中证800指数收益率*75%+上证国债指数收益率*25%,中证800指数收益率,75%,上证国债指数收益率,25%
4980,006556.OF,海富通研究精选C,混合型基金,偏股混合型基金,中证800指数收益率*80%+上证国债指数收益率*20%,中证800指数收益率,80%,上证国债指数收益率,20%
4981,006557.OF,海富通研究精选A,混合型基金,偏股混合型基金,中证800指数收益率*80%+上证国债指数收益率*20%,中证800指数收益率,80%,上证国债指数收益率,20%
4988,006564.OF,圆信永丰精选回报,混合型基金,偏股混合型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
4990,006567.OF,中泰星元价值优选,混合型基金,灵活配置型基金,中证800指数收益率*60%+中债综合指数收益率*40%,中证800指数收益率,60%,中债综合指数收益率,40%
4991,006568.OF,国联安行业领先,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
4996,006573.OF,人保行业轮动A,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证全债指数收益率*25%,沪深300指数收益率,75%,中证全债指数收益率,25%
4997,006574.OF,人保行业轮动C,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证全债指数收益率*25%,沪深300指数收益率,75%,中证全债指数收益率,25%
4998,006575.OF,华安养老2030三年,混合型基金,偏股混合型基金,中证800指数收益率*50%+中债综合财富(总值)指数收益率*50%,中证800指数收益率,50%,中债综合财富(总值)指数收益率,50%
5003,006580.OF,兴全安泰平衡养老(FOF),混合型基金,平衡混合型基金,中证偏股型基金指数收益率*50%+中债综合(全价)指数收益率*50%,中证偏股型基金指数收益率,50%,中债综合(全价)指数收益率,50%
5004,006581.OF,建信优享稳健养老一年,混合型基金,偏债混合型基金,中债综合指数收益率*80%+中证800指数收益率*20%,中债综合指数收益率,80%,中证800指数收益率,20%
5009,006586.OF,南方安裕C,混合型基金,偏债混合型基金,上证国债指数收益率*85%+沪深300指数收益率*15%,上证国债指数收益率,85%,沪深300指数收益率,15%
5010,006587.OF,南方优享分红C,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
5013,006590.OF,南方新优享C,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
5018,006595.OF,广发港股通优质增长,混合型基金,偏股混合型基金,人民币计价的恒生指数收益率*70%+中证全债指数收益率*30%,人民币计价的恒生指数收益率,70%,中证全债指数收益率,30%
5024,006601.OF,国融融泰A,混合型基金,灵活配置型基金,上证国债指数收益率*60%+沪深300指数收益率*40%,上证国债指数收益率,60%,沪深300指数收益率,40%
5025,006602.OF,国融融泰C,混合型基金,灵活配置型基金,上证国债指数收益率*60%+沪深300指数收益率*40%,上证国债指数收益率,60%,沪深300指数收益率,40%
5031,006608.OF,泓德研究优选,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中国债券综合全价指数收益率*20%,沪深300指数收益率,80%,中国债券综合全价指数收益率,20%
5038,006615.OF,工银战略新兴产业A,混合型基金,偏股混合型基金,中证800指数收益率*75%+中债综合财富(总值)指数收益率*25%,中证800指数收益率,75%,中债综合财富(总值)指数收益率,25%
5039,006616.OF,工银战略新兴产业C,混合型基金,偏股混合型基金,中证800指数收益率*75%+中债综合财富(总值)指数收益率*25%,中证800指数收益率,75%,中债综合财富(总值)指数收益率,25%
5043,006620.OF,华夏养老2045三年A,混合型基金,偏股混合型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
5044,006621.OF,华夏养老2045三年C,混合型基金,偏股混合型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
5045,006622.OF,华夏养老2035三年A,混合型基金,偏股混合型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
5046,006623.OF,华夏养老2035三年C,混合型基金,偏股混合型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
5047,006624.OF,中泰玉衡价值优选,混合型基金,灵活配置型基金,中证800指数收益率*60%+中债综合指数收益率*40%,中证800指数收益率,60%,中债综合指数收益率,40%
5064,006642.OF,华泰保兴吉年利,混合型基金,偏股混合型基金,沪深300指数收益率*70%+中债总指数(全价)收益率*30%,沪深300指数收益率,70%,中债总指数(全价)收益率,30%
5069,006648.OF,汇安多因子A,混合型基金,偏股混合型基金,中证500指数收益率*60%+中证综合债券指数收益率*40%,中证500指数收益率,60%,中证综合债券指数收益率,40%
5070,006649.OF,汇安多因子C,混合型基金,偏股混合型基金,中证500指数收益率*60%+中证综合债券指数收益率*40%,中证500指数收益率,60%,中证综合债券指数收益率,40%
5072,006652.OF,富国金融地产行业A,混合型基金,偏股混合型基金,中证金融地产行业指数收益率*80%+中债综合指数收益率*20%,中证金融地产行业指数收益率,80%,中债综合指数收益率,20%
5108,006689.OF,方正富邦信泓A,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
5116,006700.OF,红土创新稳健A,混合型基金,偏债混合型基金,中证全债指数收益率*70%+沪深300指数收益率*30%,中证全债指数收益率,70%,沪深300指数收益率,30%
5117,006701.OF,红土创新稳健C,混合型基金,偏债混合型基金,中证全债指数收益率*70%+沪深300指数收益率*30%,中证全债指数收益率,70%,沪深300指数收益率,30%
5131,006718.OF,国融融盛龙头严选A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
5132,006719.OF,国融融盛龙头严选C,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
5161,006749.OF,东兴核心成长A,混合型基金,偏股混合型基金,中证800指数收益率*60%+上证国债指数收益率*40%,中证800指数收益率,60%,上证国债指数收益率,40%
5164,006752.OF,天弘港股通精选A,混合型基金,灵活配置型基金,恒生指数收益率(使用估值汇率折算)*80%+中证综合债指数收益率*20%,恒生指数收益率(使用估值汇率折算),80%,中证综合债指数收益率,20%
5165,006753.OF,天弘港股通精选C,混合型基金,灵活配置型基金,恒生指数收益率(使用估值汇率折算)*80%+中证综合债指数收益率*20%,恒生指数收益率(使用估值汇率折算),80%,中证综合债指数收益率,20%
5167,006755.OF,东兴核心成长C,混合型基金,偏股混合型基金,中证800指数收益率*60%+上证国债指数收益率*40%,中证800指数收益率,60%,上证国债指数收益率,40%
5171,006759.OF,银河乐活优萃,混合型基金,偏股混合型基金,中证800指数收益率*80%+中证全债指数收益率*20%,中证800指数收益率,80%,中证全债指数收益率,20%
5175,006763.OF,汇添富养老2030三年,混合型基金,偏股混合型基金,中证800指数收益率*57%+中债综合指数收益率*43%,中证800指数收益率,57%,中债综合指数收益率,43%
5184,006775.OF,前海开源优质成长,混合型基金,偏股混合型基金,MSCI中国A股指数收益率*70%+银行活期存款利率(税后)*30%,MSCI中国A股指数收益率,70%,银行活期存款利率(税后),30%
5194,006785.OF,东方量化多策略,混合型基金,偏股混合型基金,中证500指数收益率*75%+中债总指数收益率*25%,中证500指数收益率,75%,中债总指数收益率,25%
5210,006801.OF,前海联合科技先锋A,混合型基金,偏股混合型基金,中证新兴产业指数收益率*70%+中债综合全价指数收益率*30%,中证新兴产业指数收益率,70%,中债综合全价指数收益率,30%
5211,006802.OF,前海联合科技先锋C,混合型基金,偏股混合型基金,中证新兴产业指数收益率*70%+中债综合全价指数收益率*30%,中证新兴产业指数收益率,70%,中债综合全价指数收益率,30%
5223,006814.OF,凯石淳行业精选C,混合型基金,偏股混合型基金,沪深300指数收益率*70%+中债总全价指数收益率*30%,沪深300指数收益率,70%,中债总全价指数收益率,30%
5224,006815.OF,凯石涵行业精选C,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债总全价指数收益率*20%,沪深300指数收益率,80%,中债总全价指数收益率,20%
5229,006822.OF,凯石湛A,混合型基金,偏股混合型基金,沪深300指数收益率*70%+中债总全价指数收益率*30%,沪深300指数收益率,70%,中债总全价指数收益率,30%
5230,006823.OF,凯石湛C,混合型基金,偏股混合型基金,沪深300指数收益率*70%+中债总全价指数收益率*30%,沪深300指数收益率,70%,中债总全价指数收益率,30%
5243,006836.OF,永赢惠泽一年定期开放,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中国债券综合全价指数收益率*50%,沪深300指数收益率,50%,中国债券综合全价指数收益率,50%
5250,006843.OF,中信建投睿溢C,混合型基金,偏债混合型基金,中债总财富指数收益率*80%+沪深300指数收益率*20%,中债总财富指数收益率,80%,沪深300指数收益率,20%
5251,006844.OF,中信建投稳利C,混合型基金,偏债混合型基金,中债总财富指数收益率*80%+沪深300指数收益率*20%,中债总财富指数收益率,80%,沪深300指数收益率,20%
5252,006845.OF,中信建投聚利C,混合型基金,偏债混合型基金,中债总财富指数收益率*80%+沪深300指数收益率*20%,中债总财富指数收益率,80%,沪深300指数收益率,20%
5264,006857.OF,蜂巢卓睿灵活A,混合型基金,灵活配置型基金,中证800指数收益率*55%+中证全债指数收益率*45%,中证800指数收益率,55%,中证全债指数收益率,45%
5265,006858.OF,蜂巢卓睿灵活C,混合型基金,灵活配置型基金,中证800指数收益率*55%+中证全债指数收益率*45%,中证800指数收益率,55%,中证全债指数收益率,45%
5268,006861.OF,招商和悦稳健养老一年A,混合型基金,偏债混合型基金,中证综合债指数收益率*85%+沪深300指数收益率*15%,中证综合债指数收益率,85%,沪深300指数收益率,15%
5269,006862.OF,招商和悦稳健养老一年C,混合型基金,偏债混合型基金,中证综合债指数收益率*85%+沪深300指数收益率*15%,中证综合债指数收益率,85%,沪深300指数收益率,15%
5270,006863.OF,国联安智能制造,混合型基金,偏股混合型基金,申银万国制造业指数收益率*75%+上证国债指数收益率*25%,申银万国制造业指数收益率,75%,上证国债指数收益率,25%
5278,006872.OF,长信颐天平衡养老(FOF)A,混合型基金,平衡混合型基金,中证全债指数收益率*50%+中证偏股型基金指数收益率*50%,中证全债指数收益率,50%,中证偏股型基金指数收益率,50%
5279,006873.OF,长信颐天平衡养老(FOF)C,混合型基金,平衡混合型基金,中证全债指数收益率*50%+中证偏股型基金指数收益率*50%,中证全债指数收益率,50%,中证偏股型基金指数收益率,50%
5282,006876.OF,国投瑞银稳健养老一年,混合型基金,偏债混合型基金,中债综合指数收益率*75%+中证800指数收益率*25%,中债综合指数收益率,75%,中证800指数收益率,25%
5283,006877.OF,天治量化核心精选A,混合型基金,偏股混合型基金,中证800指数收益率*80%+1年期定期存款利率(税后)*20%,中证800指数收益率,80%,1年期定期存款利率(税后),20%
5284,006878.OF,天治量化核心精选C,混合型基金,偏股混合型基金,中证800指数收益率*80%+1年期定期存款利率(税后)*20%,中证800指数收益率,80%,1年期定期存款利率(税后),20%
5286,006880.OF,交银安享稳健养老一年,混合型基金,偏债混合型基金,中债综合全价指数收益率*80%+沪深300指数收益率*20%,中债综合全价指数收益率,80%,沪深300指数收益率,20%
5288,006882.OF,华泰保兴健康消费A,混合型基金,偏股混合型基金,中证内地消费主题指数收益率*70%+中债总指数(全价)收益率*30%,中证内地消费主题指数收益率,70%,中债总指数(全价)收益率,30%
5289,006883.OF,华泰保兴健康消费C,混合型基金,偏股混合型基金,中证内地消费主题指数收益率*70%+中债总指数(全价)收益率*30%,中证内地消费主题指数收益率,70%,中债总指数(全价)收益率,30%
5292,006886.OF,工银养老2050五年,混合型基金,偏股混合型基金,中证800指数收益率*70%+中债新综合(财富)指数收益率*30%,中证800指数收益率,70%,中债新综合(财富)指数收益率,30%
5293,006887.OF,诺德新生活A,混合型基金,偏股混合型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
5294,006888.OF,诺德新生活C,混合型基金,偏股混合型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
5297,006891.OF,华夏养老2050五年,混合型基金,偏股混合型基金,沪深300指数收益率*70%+上证国债指数收益率*30%,沪深300指数收益率,70%,上证国债指数收益率,30%
5300,006894.OF,兴业养老2035A,混合型基金,平衡混合型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%
5301,006895.OF,兴业养老2035C,混合型基金,平衡混合型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%
5311,006906.OF,创金合信鑫收益E,混合型基金,灵活配置型基金,一年期人民币定期存款利率(税后)*70%+沪深300指数收益率*30%,一年期人民币定期存款利率(税后),70%,沪深300指数收益率,30%
5323,006918.OF,国联安安享稳健养老一年,混合型基金,偏债混合型基金,中证全债指数收益率*75%+沪深300指数收益率*25%,中证全债指数收益率,75%,沪深300指数收益率,25%
5344,006942.OF,华泰柏瑞量化明选A,混合型基金,偏股混合型基金,MSCI中国A股国际指数收益率*95%+银行活期存款利率(税后)*5%,MSCI中国A股国际指数收益率,95%,银行活期存款利率(税后),5%
5345,006943.OF,华泰柏瑞量化明选C,混合型基金,偏股混合型基金,MSCI中国A股国际指数收益率*95%+银行活期存款利率(税后)*5%,MSCI中国A股国际指数收益率,95%,银行活期存款利率(税后),5%
5347,006945.OF,银河臻选多策略A,混合型基金,偏债混合型基金,上证国债指数收益率*75%+沪深300指数收益率*25%,上证国债指数收益率,75%,沪深300指数收益率,25%
5367,006967.OF,财通行业龙头精选A,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
5368,006968.OF,财通行业龙头精选C,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
5369,006969.OF,圆信永丰高端制造,混合型基金,偏股混合型基金,中证高端制造主题指数收益率*70%+上证国债指数收益率*30%,中证高端制造主题指数收益率,70%,上证国债指数收益率,30%
5371,006972.OF,金鹰民安回报一年定开A,混合型基金,偏债混合型基金,中债总财富(总值)指数收益率*80%+沪深300指数收益率*20%,中债总财富(总值)指数收益率,80%,沪深300指数收益率,20%
5372,006973.OF,太平睿盈A,混合型基金,偏债混合型基金,中债综合指数收益率*80%+沪深300指数收益率*20%,中债综合指数收益率,80%,沪深300指数收益率,20%
5375,006976.OF,鹏华核心优势,混合型基金,偏股混合型基金,沪深300指数收益率*70%+中证综合债指数收益率*30%,沪深300指数收益率,70%,中证综合债指数收益率,30%
5376,006977.OF,农银汇理海棠三年定开,混合型基金,偏股混合型基金,沪深300指数收益率*65%+中证全债指数收益率*35%,沪深300指数收益率,65%,中证全债指数收益率,35%
5381,006982.OF,嘉实新添元定开A,混合型基金,偏债混合型基金,中债综合财富指数收益率*70%+沪深300指数收益率*30%,中债综合财富指数收益率,70%,沪深300指数收益率,30%
5382,006983.OF,嘉实新添元定开C,混合型基金,偏债混合型基金,中债综合财富指数收益率*70%+沪深300指数收益率*30%,中债综合财富指数收益率,70%,沪深300指数收益率,30%
5390,006991.OF,民生加银康宁稳健养老一年,混合型基金,偏债混合型基金,中证全债指数收益率*75%+沪深300指数收益率*25%,中证全债指数收益率,75%,沪深300指数收益率,25%
5391,006992.OF,嘉合锦创优势精选,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合全价指数收益率*20%,沪深300指数收益率,80%,中债综合全价指数收益率,20%
5406,007012.OF,湘财长顺A,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
5407,007013.OF,湘财长顺C,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
5410,007016.OF,富国睿泽回报,混合型基金,偏股混合型基金,中证800指数收益率*50%+中债综合全价指数收益率*50%,中证800指数收益率,50%,中债综合全价指数收益率,50%
5432,007040.OF,前海联合泳隆C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%
5433,007041.OF,前海联合泳涛C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%
5434,007042.OF,前海联合泳隽C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%
5435,007043.OF,前海联合泓鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%
5438,007046.OF,方正富邦创新动力C,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%
5440,007048.OF,平安安心灵活配置C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
5441,007049.OF,平安鑫安E,混合型基金,灵活配置型基金,中证全债指数收益率*60%+沪深300指数收益率*40%,中证全债指数收益率,60%,沪深300指数收益率,40%
5448,007056.OF,银华积极精选,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合财富指数收益率*20%,沪深300指数收益率,80%,中债综合财富指数收益率,20%
5451,007059.OF,汇添富养老2040五年,混合型基金,偏股混合型基金,中证800指数收益率*69%+中债综合指数收益率*31%,中证800指数收益率,69%,中债综合指数收益率,31%
5452,007060.OF,汇添富养老2050五年,混合型基金,偏股混合型基金,中证800指数收益率*78%+中债综合指数收益率*22%,中证800指数收益率,78%,中债综合指数收益率,22%
5458,007066.OF,浦银安盛先进制造A,混合型基金,偏股混合型基金,申银万国制造业指数收益率*70%+中证全债指数收益率*30%,申银万国制造业指数收益率,70%,中证全债指数收益率,30%
5459,007067.OF,浦银安盛先进制造C,混合型基金,偏股混合型基金,申银万国制造业指数收益率*70%+中证全债指数收益率*30%,申银万国制造业指数收益率,70%,中证全债指数收益率,30%
5464,007072.OF,民生加银鑫福C,混合型基金,灵活配置型基金,中证国债指数收益率*70%+沪深300指数收益率*30%,中证国债指数收益率,70%,沪深300指数收益率,30%
5466,007074.OF,国寿安保新蓝筹,混合型基金,灵活配置型基金,沪深300指数收益率*75%+中证全债指数收益率*25%,沪深300指数收益率,75%,中证全债指数收益率,25%
5474,007082.OF,平安高端制造A,混合型基金,偏股混合型基金,中证高端制造主题指数收益率*75%+中证综合债券指数收益率*25%,中证高端制造主题指数收益率,75%,中证综合债券指数收益率,25%
5475,007083.OF,平安高端制造C,混合型基金,偏股混合型基金,中证高端制造主题指数收益率*75%+中证综合债券指数收益率*25%,中证高端制造主题指数收益率,75%,中证综合债券指数收益率,25%
5476,007084.OF,天治转型升级,混合型基金,偏股混合型基金,沪深300指数收益率*80%+1年期定期存款利率(税后)*20%,沪深300指数收益率,80%,1年期定期存款利率(税后),20%
5477,007085.OF,招商瑞庆C,混合型基金,灵活配置型基金,中证全债指数收益率*80%+沪深300指数收益率*20%,中证全债指数收益率,80%,沪深300指数收益率,20%
5481,007090.OF,海富通稳健养老一年,混合型基金,偏债混合型基金,中证全债指数收益率*80%+中证800指数收益率*20%,中证全债指数收益率,80%,中证800指数收益率,20%
5500,007110.OF,国投瑞银港股通价值发现A,混合型基金,偏股混合型基金,恒生指数收益率(使用估值汇率折算)*80%+中债综合指数收益率*20%,恒生指数收益率(使用估值汇率折算),80%,中债综合指数收益率,20%
5501,007111.OF,前海联合国民健康C,混合型基金,灵活配置型基金,中证医药卫生指数收益率*60%+中债综合指数收益率*40%,中证医药卫生指数收益率,60%,中债综合指数收益率,40%
5502,007113.OF,永赢高端制造A,混合型基金,偏股混合型基金,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,申银万国制造业指数收益率,60%,中债综合指数收益率,40%
5503,007114.OF,永赢高端制造C,混合型基金,偏股混合型基金,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,申银万国制造业指数收益率,60%,中债综合指数收益率,40%
5515,007126.OF,博道远航A,混合型基金,偏股混合型基金,中证800指数收益率*80%+上证国债指数收益率*20%,中证800指数收益率,80%,上证国债指数收益率,20%
5516,007127.OF,博道远航C,混合型基金,偏股混合型基金,中证800指数收益率*80%+上证国债指数收益率*20%,中证800指数收益率,80%,上证国债指数收益率,20%
5529,007141.OF,嘉合稳健增长A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
5530,007142.OF,嘉合稳健增长C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
5539,007151.OF,前海开源沪港深聚瑞,混合型基金,偏股混合型基金,恒生指数收益率*85%+银行活期存款利率(税后)*15%,恒生指数收益率,85%,银行活期存款利率(税后),15%
5540,007152.OF,诺德策略精选,混合型基金,偏股混合型基金,沪深300指数收益率*70%+中国债券总指数收益率*30%,沪深300指数收益率,70%,中国债券总指数收益率,30%
5545,007159.OF,南方富元稳健养老一年A,混合型基金,偏债混合型基金,上证国债指数收益率*80%+沪深300指数收益率*20%,上证国债指数收益率,80%,沪深300指数收益率,20%
5546,007160.OF,南方富元稳健养老一年C,混合型基金,偏债混合型基金,上证国债指数收益率*80%+沪深300指数收益率*20%,上证国债指数收益率,80%,沪深300指数收益率,20%
5549,007163.OF,浦银安盛环保新能源A,混合型基金,偏股混合型基金,中证内地低碳经济主题指数收益率*80%+中证全债指数收益率*20%,中证内地低碳经济主题指数收益率,80%,中证全债指数收益率,20%
5550,007164.OF,浦银安盛环保新能源C,混合型基金,偏股混合型基金,中证内地低碳经济主题指数收益率*80%+中证全债指数收益率*20%,中证内地低碳经济主题指数收益率,80%,中证全债指数收益率,20%
5572,007188.OF,嘉实养老2050五年,混合型基金,偏股混合型基金,中证800指数收益率*64.6%+中债总财富指数收益率*35.4%,中证800指数收益率,64.60%,中债总财富指数收益率,35.40%
5586,007202.OF,天弘优质成长企业精选,混合型基金,灵活配置型基金,中证500指数收益率*80%+中证综合债指数收益率*20%,中证500指数收益率,80%,中证综合债指数收益率,20%
5587,007203.OF,银河新动能,混合型基金,偏股混合型基金,中国战略新兴产业成份指数收益率*75%+中债综合全价指数收益率*25%,中国战略新兴产业成份指数收益率,75%,中债综合全价指数收益率,25%
5614,007231.OF,国泰民安养老2040三年,混合型基金,平衡混合型基金,沪深300指数收益率*53%+中证综合债指数收益率*47%,沪深300指数收益率,53%,中证综合债指数收益率,47%
5616,007233.OF,金鹰鑫益E,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
5619,007238.OF,平安养老2035A,混合型基金,平衡混合型基金,中证平安2035退休宝指数收益率*95%+同期银行活期存款利率*5%,中证平安2035退休宝指数收益率,95%,同期银行活期存款利率,5%
5620,007239.OF,平安养老2035C,混合型基金,平衡混合型基金,中证平安2035退休宝指数收益率*95%+同期银行活期存款利率*5%,中证平安2035退休宝指数收益率,95%,同期银行活期存款利率,5%
5622,007241.OF,中欧预见养老2050五年A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%
5623,007242.OF,中欧预见养老2050五年C,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%
5624,007243.OF,安信核心竞争力A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
5625,007244.OF,安信核心竞争力C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
5628,007247.OF,易方达汇智稳健养老一年,混合型基金,偏债混合型基金,中债新综合指数(财富)收益率*75+沪深300指数收益率*25%,中债新综合指数(财富)收益率,75,沪深300指数收益率,25%
5630,007250.OF,广发养老2050五年,混合型基金,偏股混合型基金,中证800指数收益率*69.2%+中债-综合全价(总值)指数收益率*30.8%,中证800指数收益率,69.20%,中债-综合全价(总值)指数收益率,30.80%
5631,007251.OF,广发睿享稳健增利,混合型基金,偏债混合型基金,中证全债指数收益率*75%+中证800指数收益率*25%,中证全债指数收益率,75%,中证800指数收益率,25%
5635,007255.OF,华宝稳健养老一年,混合型基金,偏债混合型基金,上证国债指数收益率*80%+中证800指数收益率*20%,上证国债指数收益率,80%,中证800指数收益率,20%
5637,007257.OF,凯石沣A,混合型基金,平衡混合型基金,沪深300指数收益率*60%+中债总全价指数收益率*40%,沪深300指数收益率,60%,中债总全价指数收益率,40%
5638,007258.OF,凯石沣C,混合型基金,平衡混合型基金,沪深300指数收益率*60%+中债总全价指数收益率*40%,沪深300指数收益率,60%,中债总全价指数收益率,40%
5646,007266.OF,嘉实新添益定期开放A,混合型基金,偏债混合型基金,中债综合财富指数收益率*85%+沪深300指数收益率*15%,中债综合财富指数收益率,85%,沪深300指数收益率,15%
5647,007267.OF,嘉实新添益定期开放C,混合型基金,偏债混合型基金,中债综合财富指数收益率*85%+沪深300指数收益率*15%,中债综合财富指数收益率,85%,沪深300指数收益率,15%
5650,007271.OF,鹏华养老2045三年,混合型基金,偏股混合型基金,中证800指数收益率*60%+中证全债指数收益率*40%,中证800指数收益率,60%,中证全债指数收益率,40%
5652,007273.OF,鹏华长乐稳健养老一年,混合型基金,偏债混合型基金,中证全债指数收益率*75%+中证800指数收益率*25%,中证全债指数收益率,75%,中证800指数收益率,25%
5660,007281.OF,嘉合消费升级,混合型基金,偏股混合型基金,中证内地消费主题指数收益率*60%+中债综合指数收益率*40%,中证内地消费主题指数收益率,60%,中债综合指数收益率,40%
5670,007291.OF,汇丰晋信港股通双核策略,混合型基金,偏股混合型基金,中证港股通综合指数收益率*70%+中债新综合指数*30%,中证港股通综合指数收益率,70%,中债新综合指数,30%
5672,007293.OF,长信利信C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
5673,007294.OF,长信利信E,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
5676,007297.OF,大成养老2040三年A,混合型基金,平衡混合型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
5677,007298.OF,大成养老2040三年C,混合型基金,平衡混合型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
